Title,Component,Price
"StarTech.com ICUSBAUDIOB USB Interface Black Audio Adapter",Unknown,£26.39 –
"AMD Ryzen 7 9850X3D - Ryzen 7 9000 Series 8-Core 5.6GHz - Socket AM5 120W - AMD Radeon Graphics Desktop Processor - 100-100001973WOF",CPU,£467.99 –
"AMD Ryzen 7 9800X3D - Ryzen 7 9000 Series Zen 5 8-Core 5.2 GHz - Socket AM5 120W - AMD Radeon Graphics Desktop Processor - 100-100001084WOF",CPU,£442.79 –
"ASUS ROG Crosshair X870E Glacial AM5 AMD X870E Extended ATX Motherboard",Motherboard,£1,129.19 –
"AMD Ryzen 5 9600X - Ryzen 5 9000 Series Granite Ridge (Zen 5) 6-Core 3.9 GHz - Socket AM5 65W - Radeon Graphics Processor - 100-100001405WOF",CPU,£193.19 –
"GIGABYTE B550M GAMING X WIFI6 AM4 AMD B550 Micro ATX Motherboard",Motherboard,£101.99 –
"AMD Ryzen 7 7800X3D - Ryzen 7 7000 Series Zen 4 8-Core 4.2 GHz - Socket AM5 120W - AMD Radeon Graphics Desktop Processor - 100-100000910WOF",CPU,£383.99 –
"AMD Ryzen 5 5500 - Ryzen 5 5000 Series Cezanne (Zen 3) 6-Core 3.6 GHz Socket AM4 65W No Integrated Graphics Desktop CPU Processor - 100-100000457BOX",CPU,£86.39 –
"ASRock Challenger Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card RX9070XT CL 16G",GPU,£701.99 –
"MSI PRO PRO B550M-VC WIFI AM4 AMD B550 MATX AMD Motherboard",Motherboard,£97.19 –
"AMD Ryzen 7 5800XT - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.8 GHz Socket AM4 105W None Integrated Graphics Desktop CPU Processor - 100-100001582BOX",CPU,£202.79 –
"SAPPHIRE PULSE Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card 11348-03-20G",GPU,£737.99 –
"Team Group 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory Model FF4D516G6000HC38ADC01",RAM,£241.19 –
"ASRock B60 Intel Arc Pro B60 B60 CT 24G 24GB 192-bit GDDR6 PCI Express 5.0 x8 Graphics",RAM,£634.79 –
"ASRock B550M-ITX/AC AM4 AMD B550 Mini ITX AMD Motherboard",Motherboard,£87.59 –
"G.SKILL Ripjaws Series 16GB 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model F4-3200C22S-16GRS",RAM,£141.59 –
"MSI Ventus GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 TI 16G VENTUS 3X OC",GPU,£949.19 –
